cosine,jaccard,levenshtein,lcsstr,overlap,amicus,bonica,label
0.8660254037844387,0.75,7,9,1.0,21ST CENTURY INSURANCE GROUP,21ST CENTURY INSURACE,1
0.9095085938862486,0.8333333333333334,4,5,0.9375,3COM CORPORATION,MARCO CORPORATION,0
0.8685990362153793,0.7647058823529411,3,3,0.9285714285714286,3COM CORPORATION,MM CORPORATION,0
0.8838834764831844,0.7894736842105263,4,6,0.9375,3COM CORPORATION,RAMCON CORPORATION,0
0.8783100656536799,0.782608695652174,4,7,0.9,A AND W OFFICE SUPPLY,SANDIA OFFICE SUPPLY,0
0.9258200997725514,0.8571428571428571,3,6,1.0,A WOMENS PLACE,WOMANS PLACE,1
0.901127113779166,0.8181818181818182,4,6,0.9473684210526315,ABRO INDUSTRIES INC,ANCHOR INDUSTRIES INC,0
0.8651809126974003,0.7619047619047619,3,4,0.8888888888888888,ABRO INDUSTRIES INC,B P INDUSTRIES INC,0
0.9473684210526315,0.9,4,4,0.9473684210526315,ABRO INDUSTRIES INC,BEAR INDUSTRIES INC,0
0.8610567718228918,0.75,6,8,0.9473684210526315,ABRO INDUSTRIES INC,BIG ROCK INDUSTRIES INC,0
0.8804087784801333,0.782608695652174,7,7,0.9473684210526315,ABRO INDUSTRIES INC,BOUCHAT INDUSTRIES INC,0
0.8947368421052632,0.8095238095238095,4,4,0.8947368421052632,ABRO INDUSTRIES INC,BOVE INDUSTRIES INC,0
0.8804087784801333,0.782608695652174,9,15,0.9473684210526315,ABRO INDUSTRIES INC,BRANDON INDUSTIRES LLC,0
0.8651809126974003,0.7619047619047619,3,4,0.8888888888888888,ABRO INDUSTRIES INC,FDR INDUSTRIES INC,0
0.901127113779166,0.8181818181818182,5,6,0.9473684210526315,ABRO INDUSTRIES INC,HOWARD INDUSTRIES INC,0
0.8510644963469901,0.7391304347826086,4,6,0.8947368421052632,ABRO INDUSTRIES INC,JANTON INDUSTRIES INC,0
0.901127113779166,0.8181818181818182,5,6,0.9473684210526315,ABRO INDUSTRIES INC,JORDAN INDUSTRIES INC,0
0.8651809126974003,0.7619047619047619,6,11,0.8888888888888888,ABRO INDUSTRIES INC,KMA INDUSTREIS INC,0
0.8947368421052632,0.8095238095238095,3,3,0.8947368421052632,ABRO INDUSTRIES INC,MACO INDUSTRIES INC,0
